"id","username","full_name","category_niche","public_email","biography","external_url","subscribers","follower_count","following_count","engagement_rate","avg_like","avg_comment","avg_share","avg_play_video","total_likes","comment_rate","comment_like_ratio","video_count","avg_post_interval","private_account","verified","phone_country_code","phone_number","city","zip","Country","account_type","language","gender","age","ethnicity","hashtag","mentions"
"1","mista24k","24k Da Barber","Fitness","sfsd@gmail.com","FL Barber ???? Get it by any means?? Don�t take me serious.","-","1000000","37","45","54.91","20,557","253","645","104,624","891,700","0.043","1.432","188","4.19","false","false","0",,"Vancouver, British Columbia","L4L3K3","Canada","2","en","male","34","White","foryou, romwenextgen, floridabarber, forzahorizon5go, fyp?, flawda, roborockrun, fypp, barber, barbershop, 24k, viral, levismusicproject","[""@username"",""@username""]"
"2","kreamingkameron","kamkam","Fitness","sfsd@gmail.com","15 she/they FOLLOW BACKUP: @mycookielovescream","https://docs.google.com/forms/d/e/1FAIpQLScZCRdYIETSgDe1VXoQznurbEvC1CmhGAe4EqNJ-oEqRUv4uQ/viewform?vc=0&c=0&w=1&flr=0","1000000","15","5","151.02","22,728","378","283","71,730","1,600,000","0.049","1.525","1,911","2.02","false","false","1","16049421001","Vancouver, British Columbia","L4L3K3","Canada","2","en","female","65","Black","greenscreen","[""@username"",""@username""]"
"3","onylee","autumn","Fitness","sfsd@gmail.com","yes i�m gonna be famous just fm safe place","-","1000000","14","501","260.75","37,802","268","617","101,534","1,200,000","0.057","5.121","137","3.07","false","false","1","18002898889","Franklin, Tennessee","37064","USA","2","en","female","33","Asian","xyzbca, xyzcba","[""@username"",""@username""]"
"4","juhuhrk","Juh","Fitness","sfsd@gmail.com","Blessed  Twitter ?? : Juhuhrk","https://youtu.be/4KhGQz0ffLg","1000000","11","134","316.97","35,577","557","1,454","196,296","453,100","0.017","2.277","74","5.07","false","false","1","16155990800","Franklin, Tennessee","37064","USA","2","en","male","17","Hispanic","nba2k22, viral, nba2k20, xyzcba, 2kcommunity, juhuhrk, nba2kfyp, nba2k16memories, fyp, xyzbca, bestjumpshot2k22, nba2k23, xybca, bestbuildnba2k22, forzahorizon5go, 2kvcglitch","[""@username"",""@username""]"
"5","mikeknibb","Mikeknibb","Fitness","sfsd@gmail.com","IG Mikeknibb_      ^ Snap mikeknibb23 Let�s all go up together..","Clubsixty.shop","1000000","42","193","56.7","23,629","297","192","149,750","908,500","0.04","2.132","91","4.23","false","false","0",,"Franklin, Tennessee","37064","USA","3","en","female","65","White","fyp, foryoypage, fyp?, foryoupage, greenscreen","[""@username"",""@username""]"
"6","prasu391","prasoon","Fitness","sfsd@gmail.com","ns lover.  live palakkad.  single ??Follow on instagram ??","-","1000000","36","1","65.8","23,700","55","1,445","324,066","1,100,000","0.027","1.203","58","4.23","false","false","1","18053830777","Franklin, Tennessee","37064","USA","2","en","female","33","Black","music, plkd, editlove, malayaly, parupadaa, tiktok_india, bgm, kidslovers, travel, single, humanity, selfmotivation, tiktokindia, parupvada, thalapathy, vijay, thalapathyfan, keralavijayfansclub, mass, master, faceapp, sadaranakaran, ilovemyself, friends, nanbanuyir, friendshipgoals, paruppuvada, bgmlover, tamilbgm, motivationvidoes","[""@username"",""@username""]"
"7","adora2187","Adora Dietsche","Fitness","sfsd@gmail.com","(empty)","-","1000000","13","291","209.14","28,343","99","390","336,129","174,900","0.051","1.318","17","21.13","false","false","1","18053830777","Camarillo, California","93012","USA","2","en","male","17","Asian","wisconsin, snow, wisconsinlife, wisconsincheck, fyp, fyp?, follow, foryou, life, home, answeringquestions, lgbt, lesbiansoftiktok, friends, foryoupage, funny, prank, wife, lesbiancouple, husky, huskylife, huskies, dog","[""@username"",""@username""]"
"8","janik.schaedler","King of FL ??????","Fitness","sfsd@gmail.com","Traveller from the Principality of Liechtenstein ????","-","1000000","16","20","301.81","48,400","191","1,577","383,333","290,400","0.036","1.672","1","9.21","false","false","0",,"Camarillo, California","93012","USA","3","en","female","65","Hispanic","mohrliferesort, luxury, spa, pool, tirol, robinschulz, zugspitze, sun","[""@username"",""@username""]"
"9","anthonyragone","Anthony Ragone","Fitness","sfsd@gmail.com","Follow my build IG: anthonyragone Knoxville, TN","-","1000000","23","138","103.14","24,130","315","462","111,183","321,800","0.011","1.72","21","27.5","false","false","0",,"Camarillo, California","93012","USA","2","es","female","33","White","duet, projectcarcheck, nissan, fyp, 350z, skyline, projectcar","[""@username"",""@username""]"
"10","amandinho","Amanda Rodrigues","Fitness","sfsd@gmail.com","pa�s MG","-","1000000","19","212","235.38","44,850","579","949","150,583","276,500","0.007","1.205","19","2.04","false","false","61","61280880388","Sydney, Australia","2065","Australia","2","en","male","17","Black","repost, costurar, flexibilitychallenge, fypage","[""@username"",""@username""]"
"11","yoitznobody","N","Fitness","sfsd@gmail.com","H","-","1000000","31","413","69.17","20,709","734","337","67,346","1,500,000","0.002","0.559","3","14.11","false","false","81","8.1905E+11","Sydney, Australia","2065","Australia","2","en","female","34","Asian","fyp, 2021, viral, sfxmakeup, comingofage, thatwitch, foryou, xyzbca, foryoupage, election, election2020, trump2020, biden2020, vote, politics, amongus","[""@username"",""@username""]"
"12","bettareach","Betta from Reach","Fitness","sfsd@gmail.com","FB:ReAcH GB","-","1000000","15","1","194.2","30,530","153","138","234,846","183,900","0.034","1.469","7","7.01","false","false","1","19735419446","Lake Hiawatha, New Jersey","97070","USA","2","en","female","65","Hispanic","betta_from_reach, fish, arowana, bettafish, bettagalaxy, ????????????????, betta","[""@username"",""@username""]"
"13","fishingtbh","fishingtbh","Fitness","sfsd@gmail.com","If you follow you�ll catch hogs","-","1000000","26","157","79.86","21,018","146","186","104,372","437,500","0.021","0.97","77","7.17","false","false","0","<<not-applicable>>","Lake Hiawatha, New Jersey","97070","USA","2","en","male","33","White","viral, fypdoesntwork, fishing, fishtok, codaduets, xybca, nightdoneright, whatwouldpoptartsdo, dadmoves, perfectasweare, catfish, katespadenyhappydance, trout, intheheightschallenge, fyp, teamusatryout, twdsurvivalchallenge","[""@username"",""@username""]"
"14","cafevillamorhi","Cafe Villamor","Fitness","sfsd@gmail.com","Just a girl and her Cafe! 825 ilaniwai, Kakaako","www.cafevillamor.com","1000000","12","1","340.37","40,929","255","268","242,646","1,600,000","0.05","1.206","20","2.2","false","false","0",,"Lake Hiawatha, New Jersey","97070","USA","2","en","female","17","Black","oahu, hawaii, kakaako, halloween, hawaiicheck, hawaiitiktok","[""@username"",""@username""]"
"15","craftingwitch","Crafting Witch ???","Fitness","sfsd@gmail.com","? 20 ? ? Australia ? https://www.craftingwitch.com.au/","-","1000000","38","45","71","27,110","153","266","126,050","274,300","0.018","3.563","9","11.7","false","false","0",,"Lake Hiawatha, New Jersey","97070","USA","2","en","female","65","Asian","fyp, foryou, terrarium, fairy, cottagecore, smallbusiness, orderpacking, asmr, ratsoftiktok, rats, rat, petrat, foryoupage, diy, aesthetic, art","[""@username"",""@username""]"
"16","hamexosu","Hamex","Fitness","sfsd@gmail.com","Follow for more xD?? Last Follower: @Yorkstra�e","-","1000000","43","64","89.1","38,667","270","510","333,333","1,600,000","0.062","5.028","4","1.2","false","false","1","17819328080","Woburn, Massachusetts","11801","USA","2","en","male","33","Hispanic","deji, brawlhalla, funny, viral, laugh, diana, tank, fy, fyp, fyp??viral, foryou, hyphonix, lmao, hacker, haha, sad, cry","[""@username"",""@username""]"
"17","abknallen","??????? ???????","Fitness","sfsd@gmail.com","???","-","1000000","20","24","217.9","44,823","499","989","483,619","702,300","0.013","1.33","9","2","false","false","1","18007989127","Woburn, Massachusetts","11801","USA","2","fr","female","17","White","drunk, time, meme, memes, tiktok, tiktokmemes, fyp, fy, foryou, foryoupage, viral, viralvideo, remember, memezar, night, friends, friendship, tiktoktrend, sunset, goodvibes, goodfeeling, wtf, together, goodtimes, sweets, gift, awesome, free, eat, trick, smart, f�rdich, funny, family, comedy, youtube, tank, car, coronavirus, pov, memehub, memegod, letsplay, gronkh, bestofgronkh, gaming, horror, humor, lustig, spr�che, tikrok, lachen","[""@username"",""@username""]"
"18","ecomsj","Simon","Fitness","sfsd@gmail.com","??","-","1000000","20","21","129.1","25,962","116","294","540,457","1,100,000","0.107","13.3","10","12.2","false","false","0",,"Woburn, Massachusetts","1801","USA","2","en","female","65","Black","foryou, fyp, dontletthisflop, foryourpage, f�rdichseite, viral, reflectivepants, f�rdich","[""@username"",""@username""]"
"19","movieclips1727","MovieLover1727","Fitness","sfsd@gmail.com","I�m just a dude wanting to show his favourite movie and tv show scenes??","-","1000000","35","1","76.21","27,046","84","457","285,700","1,300,000","0.013","0.887","86","2.03","false","false","1","13103239050","Gardena, California","90247","USA","2","en","male","33","Asian","fyp, foryoupage, tkmaxxtalentshow, wonderwaterdrip, jdstreet, trending, tiktok, viral, movietok, movies, movieclips, markwhalberg, painandgain, gym, muscle, fitness, action, hollywood, michaelbay, 22jumpstreet, icecube, jonahhill, funny, comedy, awkward, hilarious, sad, gwenstacy, spiderman, andrewgarfield, emmastone, transformers, darksideofthemoon, decepticons, soldiers, remix, markwahlberg, dwaynejohnson, anthonymackie, neighborhood, trial, court, sungymgang","[""@username"",""@username""]"
"20","danyboy152","Daniel Rodriguez","Fitness","sfsd@gmail.com","18/NJ Amos: danyboy152 50k ????","-","1000000","39","143","54.66","21,211","435","519","132,489","2,000,000","0.155","10.355","22","21.21","false","false","0",,"Gardena, California","90247","USA","3","en","female","17","Hispanic","fyp, fyp?, foryoupage, motivation, workout, novemberchallenge, selfimprovement, greenscreen, foryou, foryourpage, trending, viral, heartbroken, fortheboys, dontletthisflop, drink, childhood, memories, nostalgia, theboys, water, candy","[""@username"",""@username""]"
"21","ashley_tattooedyou","ashley_tattooedyou","Fitness","sfsd@gmail.com","Artist. Tennessee. Thank you for 29k?? $1 TATTOO TUESDAY $limitlessartbyash","https://linktr.ee/Ashley_tattooedyou","1000000","29","292","77.17","22,466","224","113","92,124","488,200","0.009","3.853","71","8.23","false","false","0",,"Gardena, California","90247","USA","2","en","female","34","White","fyp, tattooartist, diytattoo, twdsurvivalchallenge, maxplumpjump, tattooathome, ponderwithzion, makeyourmove, sipintosummer, sayquaynotkway, tattoo, pepsiapplepiechallenge, fyp?, chipsgottalent, justbeinghelpful, athometattoo, shadowandbone, skiptherinse, pitbull, tiktokggt","[""@username"",""@username""]"
"22","ashleyfriday7","Ashley Friday","Fitness","sfsd@gmail.com","??friday?? tik tok I�m not a minor","-","1000000","33","165","62.05","20,684","39","349","223,120","1,500,000","0.043","3.112","368","8.2","false","false","1","18188470121","Burbank, California","91504","USA","2","en","male","65","Black","fyp, duet, greenscreen","[""@username"",""@username""]"
"23","banankothebudgie","Bananko","Fitness","sfsd@gmail.com","Instagram: @banankothebudgie ??","-","1000000","28","2","103.87","28,963","328","543","124,514","839,400","0.036","9.706","200","7.23","false","false","1","16177472012","Boston, Massachusetts","2215","USA","2","en","female","33","Asian","fyp, budgie, bird, pet, bettertogetherchallenge, sing2gether, foryou, birdsoftiktok, petsoftiktok, conure, sunconure, poop, 4u, yummy, fyp?, birb, cute, yummyyummy, baby, babyfood, petbird, fup, iknowwhatyoudid, funny, cutepet, pickingmynose, nosepicker, macandcheese, treatiestcupcontest","[""@username"",""@username""]"
"24","formorphology","Formorphology","Fitness","sfsd@gmail.com","Vertebrate Paleontology PhD student. Science content. Follow me on Twitter.","-","1000000","11","9","278.14","32,183","359","3,833","683,333","193,500","0.009","4.444","2","17.3","false","false","0",,"Beverly Hills, California","90210","USA","2","es","female","17","Hispanic","birds, birding, airplanes, loons, dinosaur, science, scicomm","[""@username"",""@username""]"
"25","avagonzalesss",";))","Fitness","sfsd@gmail.com","just for sh!ts and giggles insta: ava.gonzaless","-","1000000","10","177","272.45","29,317","381","300","115,578","178,600","0.01","1.213","3","14.5","false","false","0",,"London, United Kingdom","WD6 2JA","USA","2","en","male","65","White","foryoupage, fyp","[""@username"",""@username""]"
"26","barbaraiv","Barbara","Fitness","sfsd@gmail.com","(empty)","-","1000000","44","235","61.21","26,667","388","593","110,183","4,400,000","0.554","21.04","93","4.08","false","false","1","18004725555","Carlsbad, California","92010","USA","2","en","female","33","Black","(empty)","[""@username"",""@username""]"
"27","bellacobian","bellacobian","Fitness","sfsd@gmail.com","21 ? idk what I�m doing here I�m shy","-","1000000","32","103","86.15","27,447","552","310","104,732","920,100","0.017","1.792","15","6.19","false","false","49","4.91504E+12","Wilsonville, Oregon","97070","USA","2","en","female","17","Asian","makeup, spookyszn, fyp, makeuptransformation, 2013, tumblrxlife, fyp?, nosejobcheck, rhinoplasty, watchmegrow, imsohappy","[""@username"",""@username""]"
"28","bienkdm","bienkdm","Fitness","sfsd@gmail.com","2003 CAS","-","1000000","37","0","72.96","27,000","140","118","142,983","304,400","0.007","1.994","18","24.12","false","false","44","4.41224E+11","Cambridge, Cambridgeshire","CB4 2HY","USA","2","en","male","65","Hispanic","(empty)","[""@username"",""@username""]"
"29","duckybucky13","Ducky&puppy","Fitness","sfsd@gmail.com","Duck and puppy stan account","-","1000000","11","0","256.86","28,772","253","875","255,850","3,000,000","0.02","1.475","4","16","false","false","0",,"Oxford, Oxfordshire","97070","USA","2","en","female","33","White","fyp, ??, lmfao, forupage, justaddbriskzero, getcrocd, omg, cutepie, cutpuppy, cry, puppylove, puppy, fyp?, fypchallenge, viral, love, dog, doggy, greenscreenvideo, foryoupage, pain, cute, cutepuppy, yasclean, findyourcore, cutters, friends, planterstrickshot, dontsweatit, biggerisbetter, doggie","[""@username"",""@username""]"
"30","bluestrawberries1681","Anonymous","Fitness","sfsd@gmail.com","�They/Them� �Satanist�","-","1000000","16","9","139.5","21,758","562","417","72,311","166,300","0.107","2.196","16","14","false","false","1","18003817960","London, United Kingdom","WD6 2JA","USA","2","en","female","17","Black","fyp, imhereforyou","[""@username"",""@username""]"
"31","k.lou24","K Lou","Fitness","sfsd@gmail.com","Y�all ??","-","1000000","14","264","235.35","34,718","349","512","139,707","209,200","0.011","1.493","5","19.22","false","false","0",,"Carlsbad, California","92010","USA","2","en","male","34","Asian","fyp, watchmegrow, equestrian, animallover, horse, thefuture, myworld, daughter, canchaser, horsesoftiktok, warmblood, worthmorethenmyhouse, dressage, foryoupage, yeet, yeehaw, qh, sassy, roundofapplause, freezeframe, texanshelpingtexans, levelup, quaterhorse, barrelracer, playgun, sunfrost, bigboottyjudy","[""@username"",""@username""]"
"32","missyloops13","Jordan Burdian","Fitness","sfsd@gmail.com","(empty)","-","1000000","43","25","57.64","24,851","282","26","110,126","1,100,000","0.028","1.68","13","1.22","false","false","44","4.47808E+11","Wilsonville, Oregon","97070","USA","2","fr","female","65","Hispanic","foryoupage, foryou, fyp, painting, wallmural, cartoon, disney, crochet, toy, crochetfood, crochetaddiction, food, play, apple, broccoli, donut, doughnuts, croissant, pumpkin, pumkinking","[""@username"",""@username""]"
"33","alexgar1108","Alexgar1108","Fitness","sfsd@gmail.com","No bio yet","-","1000000","40","728","79.47","31,891","134","44","239,877","2,000,000","0.006","1.404","98","5.19","false","false","0",,"Cambridge, Cambridgeshire","CB4 2HY","USA","2","en","female","33","White","ifeelweightless, fyp, foryoupage, viral, funny, foryou, sac, welcome2021, itsourhome, sad, heartbreak, dailyvlog, coming2america, rareaesthetic, stitch","[""@username"",""@username""]"
